sc,name,market,industry,trade_date,close_price,volume,market_cap_million_yen
0001,日経平均株価（日経225）,東証,株価指数,2026-04-06,53413.68,,
0002,TOPIX（東証株価指数）,東証,株価指数,2026-04-06,3644.8,,
1301,極洋,東証PR,水産・農林,2026-04-06,5060,23500,61116
130A,Veritas_In_Silico,東証GR,医薬品,2026-04-06,458,8000,2971
1332,ニッスイ,東証PR,水産・農林,2026-04-06,1361.5,586800,425374
1333,Umios,東証PR,水産・農林,2026-04-06,1483.5,367600,225101
135A,VRAIN_Solution,東証GR,情報通信,2026-04-06,2555,51600,26204
1375,ユキグニファクトリー,東証PR,水産・農林,2026-04-06,1064,27200,42465
1376,カネコ種苗,東証ST,水産・農林,2026-04-06,1470,20000,17306
1377,サカタのタネ,東証PR,水産・農林,2026-04-06,4620,143400,209798
1379,ホクト,東証PR,水産・農林,2026-04-06,1944,64500,64850
137A,Cocolive,東証GR,情報通信,2026-04-06,696,2900,2119
1380,秋川牧園,東証ST,水産・農林,2026-04-06,1020,900,4263
1381,アクシーズ,東証ST,水産・農林,2026-04-06,3800,12100,21347
1382,ホーブ,東証ST,水産・農林,2026-04-06,1759,2600,1340
1383,ベルグアース,東証ST,水産・農林,2026-04-06,3310,9300,5341
1384,ホクリヨウ,東証ST,水産・農林,2026-04-06,2895,21500,24489
138A,光フードサービス,東証GR,小売,2026-04-06,2918,1100,2895
1401,エムビーエス,東証GR,建設,2026-04-06,1400,4700,10825
1407,ウエストホールディングス,東証ST,建設,2026-04-06,1900,354600,87452
1414,ショーボンドホールディングス,東証PR,建設,2026-04-06,1449.5,700000,317413
1417,ミライト・ワン,東証PR,建設,2026-04-06,3650,194700,333337
1418,インターライフホールディングス,東証ST,建設,2026-04-06,490,55800,8335
1419,タマホーム,東証PR,建設,2026-04-06,4000,256700,117823
141A,トライアルホールディングス,東証GR,小売,2026-04-06,4655,643500,571249
1420,サンヨーホームズ,東証ST,建設,2026-04-06,654,106200,8666
1429,日本アクア,東証PR,建設,2026-04-06,701,69500,24367
142A,ジンジブ,東証GR,サービス,2026-04-06,702,6000,2039
1430,ファーストコーポレーション,東証ST,建設,2026-04-06,1067,16800,14259
1431,Lib_Work,東証GR,建設,2026-04-06,647,18400,15626
1433,ベステラ,東証PR,建設,2026-04-06,1180,28000,10971
1434,JESCOホールディングス,東証ST,建設,2026-04-06,1835,39900,12800
1435,robot_home,東証ST,不動産,2026-04-06,203,767100,18499
1436,グリーンエナジー＆カンパニー,東証GR,建設,2026-04-06,4105,35000,17594
1438,岐阜造園,東証ST,建設,2026-04-06,1836,1000,5957
143A,イシン,東証GR,サービス,2026-04-06,769,700,1486
1443,技研ホールディングス,東証ST,建設,2026-04-06,293,182600,4758
1444,ニッソウ,東証GR,建設,2026-04-06,2707,4900,2947
1446,キャンディル,東証ST,建設,2026-04-06,547,21700,5872
1447,SAAFホールディングス,東証GR,建設,2026-04-06,414,387700,10121
1450,TANAKEN,東証ST,建設,2026-04-06,1504,2600,13084
145A,L_is_B,東証GR,情報通信,2026-04-06,788,5600,4038
146A,コロンビア・ワークス,東証ST,不動産,2026-04-06,3925,36600,30288
147A,ソラコム,東証GR,情報通信,2026-04-06,963,32500,43893
148A,ハッチ・ワーク,東証GR,情報通信,2026-04-06,1813,1100,3478
1491,中外鉱業,東証ST,非鉄金属,2026-04-06,991,62300,14357
149A,シンカ,東証GR,情報通信,2026-04-06,970,113100,3118
150A,JSH,東証GR,サービス,2026-04-06,369,2400,2091
1514,住石ホールディングス,東証ST,鉱業,2026-04-06,919,1368900,61778
1515,日鉄鉱業,東証PR,鉱業,2026-04-06,2568,503000,205440
1518,三井松島ホールディングス,東証PR,その他製品,2026-04-06,1398,120800,91320
151A,ダイブ,東証GR,サービス,2026-04-06,627,5200,5392
153A,カウリス,東証GR,情報通信,2026-04-06,1409,278900,9202
