sc,name,market,industry,trade_date,trade_seq,lookback_obs,close_price,high_price,low_price,volume,range_high,range_low,avg_volume,breakout_price,range_width_pct,breakout_pct,volume_ratio,close_fwd_20,close_fwd_60,close_fwd_120,close_fwd_240,future_max_close_240,future_min_close_60,return_20d,return_60d,return_120d,return_240d,future_max_return_240d,future_min_return_60d,label,label_reason
6952,カシオ計算機,東証一部,電気機器,2019-09-06,410,120,1565,1570,1527,2792200,1509,1211,1380755.000000000000,1565,0.24607762180016515277,0.0371106693174288,2.0222269700272677,1675,2115,1635,1776,2305,1573,0.07028754,0.35143770,0.04472843,0.13482428,0.47284345,0.00511182,neutral,advanced_but_not_enough_for_long_trend
6954,ファナック,東証一部,電気機器,2020-10-30,687,120,22050,22695,21920,2253300,21580,17200,698415.000000000000,22050,0.25465116279069767442,0.02177942539388322521,3.2263052769485191,26150,27365,25415,24255,29050,22250,0.18594104,0.24104308,0.15260771,0.10000000,0.31746032,0.00907029,neutral,advanced_but_not_enough_for_long_trend
6960,フクダ電子,JQS,電気機器,2020-12-28,726,120,8000,8050,7650,12900,7710,6630,2335.0000000000000000,8000,0.16289592760180995475,0.0376134889753567,5.5246252676659529,7870,8520,8970,8460,11560,7850,-0.01625000,0.06500000,0.12125000,0.05750000,0.44500000,-0.01875000,neutral,advanced_but_not_enough_for_long_trend
6963,ローム,東証一部,電気機器,2020-12-02,708,120,9240,9290,8940,1190900,8900,6670,706830.000000000000,9240,0.33433283358320839580,0.0382022471910112,1.6848464270050790,9990,10710,10440,10900,11940,9100,0.08116883,0.15909091,0.12987013,0.17965368,0.29220779,-0.01515152,neutral,advanced_but_not_enough_for_long_trend
6965,浜松ホトニクス,東証一部,電気機器,2019-11-12,452,120,4635,4685,4545,760700,4410,3625,312440.000000000000,4635,0.21655172413793103448,0.0510204081632653,2.4347074638330559,4535,4670,4675,5850,5850,4435,-0.02157497,0.00755124,0.00862999,0.26213592,0.26213592,-0.04314995,neutral,advanced_but_not_enough_for_long_trend
6965,浜松ホトニクス,東証一部,電気機器,2020-09-28,664,120,5430,5450,5300,442400,5260,4260,262640.000000000000,5430,0.23474178403755868545,0.0323193916349810,1.6844349680170576,5140,5950,6460,7020,7230,5080,-0.05340700,0.09576427,0.18968692,0.29281768,0.33149171,-0.06445672,neutral,advanced_but_not_enough_for_long_trend
7011,三菱重工業,東証一部,機械,2020-12-14,716,120,2949,2955,2775,4689700,2755.5,2192,2358520.000000000000,2949,0.25707116788321167883,0.0702231899836690,1.9884079846683513,3331,3494,3394,2711.5,3648,2872,0.12953544,0.18480841,0.15089861,-0.08053577,0.23702950,-0.02611055,neutral,advanced_but_not_enough_for_long_trend
7164,全国保証,東証一部,その他金融,2020-11-10,693,120,4675,4680,4610,333300,4535,3450,185700.000000000000,4675,0.31449275362318840580,0.0308710033076075,1.7948303715670436,4715,4970,4765,5420,5810,4405,0.00855615,0.06310160,0.01925134,0.15935829,0.24278075,-0.05775401,neutral,advanced_but_not_enough_for_long_trend
7203,トヨタ自動車,東証一部,輸送用機器,2020-11-11,694,120,7503,7503,7369,10075300,7285,6217,4754020.000000000000,7503,0.17178703554769181277,0.0299245024021963,2.1193221736551382,7480,7994,8523,2063,10385,6999,-0.00306544,0.06544049,0.13594562,-0.72504332,0.38411302,-0.06717313,neutral,advanced_but_not_enough_for_long_trend
7244,市光工業,東証一部,電気機器,2020-12-07,711,120,595,610,584,482300,569,446,268365.000000000000,595,0.27578475336322869955,0.0456942003514938,1.7971792148752632,665,774,743,496,819,600,0.11764706,0.30084034,0.24873950,-0.16638655,0.37647059,0.00840336,neutral,advanced_but_not_enough_for_long_trend
7264,ムロコーポレーション,JQS,輸送用機器,2020-11-17,691,120,1111,1111,1086,4000,1085,956,3115.0000000000000000,1111,0.13493723849372384937,0.0239631336405530,1.2841091492776886,1114,1279,1239,1219,1405,1031,0.00270027,0.15121512,0.11521152,0.09720972,0.26462646,-0.07200720,neutral,advanced_but_not_enough_for_long_trend
