sc,name,market,industry,trade_date,trade_seq,lookback_obs,close_price,high_price,low_price,volume,range_high,range_low,avg_volume,breakout_price,range_width_pct,breakout_pct,volume_ratio,close_fwd_20,close_fwd_60,close_fwd_120,close_fwd_240,future_max_close_240,future_min_close_60,return_20d,return_60d,return_120d,return_240d,future_max_return_240d,future_min_return_60d,label,label_reason
1844,大盛工業,東証二部,建設,2019-12-09,471,120,285,300,271,2706400,241,208,34545.000000000000,285,0.15865384615384615385,0.1825726141078838,78.3441887393255174,260,202,234,210,280,190,-0.08771930,-0.29122807,-0.17894737,-0.26315789,-0.01754386,-0.33333333,non_trend,early_drawdown_breached_failure_threshold
1847,イチケン,東証一部,建設,2020-11-26,704,120,1798,1798,1716,21000,1750,1413,13400.000000000000,1798,0.23849964614295824487,0.0274285714285714,1.5671641791044776,1774,2188,1846,1867,2274,1755,-0.01334816,0.21690768,0.02669633,0.03837597,0.26473860,-0.02391546,neutral,advanced_but_not_enough_for_long_trend
1852,淺沼組,東証一部,建設,2019-11-11,451,120,4450,4485,4250,177300,4305,3395,49200.000000000000,4450,0.26804123711340206186,0.0336817653890825,3.6036585365853659,4485,5180,3605,4200,5250,4350,0.00786517,0.16404494,-0.18988764,-0.05617978,0.17977528,-0.02247191,non_trend,future_max_return_never_reached_half_trend_threshold
1853,森組,東証二部,建設,2020-01-23,499,120,347,358,339,196900,338,277,52000.000000000000,347,0.22021660649819494585,0.0266272189349112,3.7865384615384615,328,219,250,295,348,202,-0.05475504,-0.36887608,-0.27953890,-0.14985591,0.00288184,-0.41786744,non_trend,early_drawdown_breached_failure_threshold
1861,熊谷組,東証一部,建設,2020-09-28,664,120,2825,2825,2782,191000,2763,2182,129240.000000000000,2825,0.26626947754353803850,0.0224393774882374,1.4778706282884556,2495,2552,3135,2766,3265,2362,-0.11681416,-0.09663717,0.10973451,-0.02088496,0.15575221,-0.16389381,non_trend,early_drawdown_breached_failure_threshold
1865,青木あすなろ建設,東証一部,建設,2019-03-15,294,120,1109,1109,995,77000,1031,867,14725.000000000000,1109,0.18915801614763552480,0.0756547041707081,5.2292020373514431,940,799,1208,,1211,797,-0.15238954,-0.27953111,0.08926961,,0.09197475,-0.28133454,non_trend,early_drawdown_breached_failure_threshold
1866,北野建設,東証一部,建設,2020-09-28,664,120,2794,2794,2707,8600,2700,2195,3280.0000000000000000,2794,0.23006833712984054670,0.0348148148148148,2.6219512195121951,2622,2481,2615,2190,2801,2477,-0.06156049,-0.11202577,-0.06406586,-0.21617752,0.00250537,-0.11345741,non_trend,early_drawdown_breached_failure_threshold
1867,植木組,東証一部,建設,2019-09-19,418,120,2494,2494,2452,13700,2445,2060,6640.0000000000000000,2494,0.18689320388349514563,0.0200408997955010,2.0632530120481928,2583,2563,2314,2722,2722,2473,0.03568565,0.02766640,-0.07217322,0.09141941,0.09141941,-0.00842021,non_trend,future_max_return_never_reached_half_trend_threshold
1867,植木組,東証一部,建設,2020-09-18,660,120,2799,2799,2720,39100,2736,2304,7315.0000000000000000,2799,0.18750000000000000000,0.0230263157894737,5.3451811346548189,2712,2814,3145,1537,3250,2657,-0.03108253,0.00535906,0.12361558,-0.45087531,0.16112897,-0.05073240,non_trend,future_max_return_never_reached_half_trend_threshold
1869,名工建設,名証二部,建設,2019-12-26,454,120,1145,1145,1120,9600,1120,986,3670.0000000000000000,1145,0.13590263691683569980,0.0223214285714286,2.6158038147138965,1125,965,1190,1049,1190,820,-0.01746725,-0.15720524,0.03930131,-0.08384279,0.03930131,-0.28384279,non_trend,early_drawdown_breached_failure_threshold
1870,矢作建設工業,東証一部,建設,2019-11-08,450,120,827,834,807,113100,772,648,43215.000000000000,827,0.19135802469135802469,0.0712435233160622,2.6171468240194377,806,860,760,968,968,761,-0.02539299,0.03990326,-0.08101572,0.17049577,0.17049577,-0.07980653,non_trend,future_max_return_never_reached_half_trend_threshold
1870,矢作建設工業,東証一部,建設,2020-09-28,664,120,931,931,900,110100,912,694,44410.000000000000,931,0.31412103746397694524,0.0208333333333333,2.4791713578022968,850,880,872,833,968,835,-0.08700322,-0.05477981,-0.06337272,-0.10526316,0.03974221,-0.10311493,non_trend,early_drawdown_breached_failure_threshold
1871,ピーエス三菱,東証一部,建設,2018-11-05,208,120,690,699,648,991000,648,491,228885.000000000000,690,0.31975560081466395112,0.0648148148148148,4.3296852130982808,673,587,607,774,786,535,-0.02463768,-0.14927536,-0.12028986,0.12173913,0.13913043,-0.22463768,non_trend,early_drawdown_breached_failure_threshold
1871,ピーエス三菱,東証一部,建設,2019-09-17,416,120,716,721,680,279000,690,581,122780.000000000000,716,0.18760757314974182444,0.0376811594202899,2.2723570614106532,748,730,453,600,786,685,0.04469274,0.01955307,-0.36731844,-0.16201117,0.09776536,-0.04329609,non_trend,future_max_return_never_reached_half_trend_threshold
1871,ピーエス三菱,東証一部,建設,2020-09-08,652,120,605,605,591,128500,590,442,91820.000000000000,605,0.33484162895927601810,0.0254237288135593,1.3994772380744936,612,580,712,645,737,561,0.01157025,-0.04132231,0.17685950,0.06611570,0.21818182,-0.07272727,neutral,advanced_but_not_enough_for_long_trend
1873,日本ハウスホールディングス,東証一部,建設,2018-09-26,181,120,625,629,601,762700,605,539,197030.000000000000,625,0.12244897959183673469,0.0330578512396694,3.8709841140943004,608,397,474,491,649,397,-0.02720000,-0.36480000,-0.24160000,-0.21440000,0.03840000,-0.36480000,non_trend,early_drawdown_breached_failure_threshold
1873,日本ハウスホールディングス,東証一部,建設,2019-09-26,422,120,504,506,495,363300,491,403,174565.000000000000,504,0.21836228287841191067,0.0264765784114053,2.0811732019591556,524,493,295,274,531,473,0.03968254,-0.02182540,-0.41468254,-0.45634921,0.05357143,-0.06150794,non_trend,future_max_return_never_reached_half_trend_threshold
