sc,name,market,industry,trade_date,trade_seq,lookback_obs,close_price,high_price,low_price,volume,range_high,range_low,avg_volume,breakout_price,range_width_pct,breakout_pct,volume_ratio,close_fwd_20,close_fwd_60,close_fwd_120,close_fwd_240,future_max_close_240,future_min_close_60,return_20d,return_60d,return_120d,return_240d,future_max_return_240d,future_min_return_60d,label,label_reason
6889,オーデリック,JQS,電気機器,2020-01-07,488,120,4505,4505,4430,9200,4410,3795,6385.0000000000000000,4505,0.16205533596837944664,0.0215419501133787,1.4408770555990603,5570,6100,,,6160,4485,0.23640400,0.35405105,,,0.36736959,-0.00443951,incomplete,insufficient_future_bars
6896,北川工業,名証二部,電気機器,2018-11-01,184,120,1585,1585,1555,2200,1515,1350,1050.0000000000000000,1585,0.12222222222222222222,0.0462046204620462,2.0952380952380952,3915,3920,,,3935,1505,1.47003155,1.47318612,,,1.48264984,-0.05047319,incomplete,insufficient_future_bars
6944,アイレックス,JQS,情報通信,2020-12-18,720,120,2091,2094,2087,306000,1959,1534,3165.0000000000000000,2091,0.27705345501955671447,0.0673813169984686,96.6824644549763033,2096,2087,,,2098,2082,0.00239120,-0.00191296,,,0.00334768,-0.00430416,incomplete,insufficient_future_bars
7404,昭和飛行機工業,東証二部,輸送用機器,2019-11-05,435,120,1470,1470,1397,9000,1439,1291,1195.0000000000000000,1470,0.11463981409759876065,0.0215427380125087,7.5313807531380753,2053,2728,,,2745,1449,0.39659864,0.85578231,,,0.86734694,-0.01428571,incomplete,insufficient_future_bars
7448,ジーンズメイト,東証一部,小売,2020-10-14,675,120,260,297,217,4379700,248,200,113585.000000000000,260,0.24000000000000000000,0.0483870967741935,38.5587885724347405,287,291,,,421,254,0.10384615,0.11923077,,,0.61923077,-0.02307692,incomplete,insufficient_future_bars
7465,マックスバリュ北海道,JQS,小売,2020-02-06,499,120,3930,3940,3835,5200,3815,3360,4255.0000000000000000,3930,0.13541666666666666667,0.0301441677588467,1.2220916568742656,,,,,4010,3875,,,,,0.02035623,-0.01399491,incomplete,insufficient_future_bars
7577,HAPiNS,JQS,小売,2020-11-12,695,120,212,212,163,567000,189,140,6375.0000000000000000,212,0.35000000000000000000,0.1216931216931217,88.9411764705882353,259,258,,,373,223,0.22169811,0.21698113,,,0.75943396,0.05188679,incomplete,insufficient_future_bars
7889,桑山,JQS,その他製品,2018-09-04,165,120,787,788,787,310500,725,572,1130.0000000000000000,787,0.26748251748251748252,0.0855172413793103,274.7787610619469027,788,,,,789,783,0.00127065,,,,0.00254130,-0.00508259,incomplete,insufficient_future_bars
7891,日本ユピカ,JQS,化学,2020-01-15,452,120,1536,1649,1475,13100,1433,1188,1490.0000000000000000,1536,0.20622895622895622896,0.0718771807397069,8.7919463087248322,2993,2985,,,3000,1460,0.94856771,0.94335938,,,0.95312500,-0.04947917,incomplete,insufficient_future_bars
8036,日立ハイテクノロジーズ,東証一部,卸売,2019-12-04,468,120,7320,7360,7170,441000,7170,5390,336350.000000000000,7320,0.33024118738404452690,0.0209205020920502,1.3111342351716961,7890,8000,,,8100,7290,0.07786885,0.09289617,,,0.10655738,-0.00409836,incomplete,insufficient_future_bars
8191,光製作所,JQS,卸売,2018-12-04,157,120,6670,6730,6660,19000,6180,4920,320.0000000000000000,6670,0.25609756097560975610,0.0792880258899676,59.3750000000000000,6650,,,,6740,6610,-0.00299850,,,,0.01049475,-0.00899550,incomplete,insufficient_future_bars
8274,東武ストア,東証一部,小売,2018-07-27,140,120,3255,3285,3175,10900,3180,2949,3330.0000000000000000,3255,0.07833163784333672431,0.0235849056603774,3.2732732732732733,3930,,,,3940,3335,0.20737327,,,,0.21044547,0.02457757,incomplete,insufficient_future_bars
8589,アプラスフィナンシャル,東証一部,その他金融,2020-11-02,688,120,84,85,84,11930400,81,61,1372355.000000000000,84,0.32786885245901639344,0.0370370370370370,8.6933774424256114,,,,,85,84,,,,,0.01190476,0.00000000,incomplete,insufficient_future_bars
8851,アーバンライフ,東証二部,不動産,2018-07-25,129,120,1326,1326,1326,6800,1144,928,1640.0000000000000000,1326,0.23275862068965517241,0.1590909090909091,4.1463414634146341,2412,,,,2413,1626,0.81900452,,,,0.81975867,0.22624434,incomplete,insufficient_future_bars
9437,NTTドコモ,東証一部,情報通信,2020-09-30,666,120,3885,3895,3880,55055900,3444,2698.5,5830410.000000000000,3885,0.27626459143968871595,0.1280487804878049,9.4428865208450178,3887,,,,3907,3866,0.00051480,,,,0.00566281,-0.00489060,incomplete,insufficient_future_bars
9826,JEUGIA,東証二部,小売,2020-02-03,257,120,1574,1574,1574,2000,1345,1209,780.0000000000000000,1574,0.11248966087675765095,0.1702602230483271,2.5641025641025641,1716,,,,1718,1679,0.09021601,,,,0.09148666,0.06670902,incomplete,insufficient_future_bars
9836,リーバイ・ストラウスジャパン,JQS,卸売,2019-10-03,424,120,1368,1378,1070,291400,1325,1028,2715.0000000000000000,1368,0.28891050583657587549,0.0324528301886792,107.3296500920810313,1568,,,,1569,1094,0.14619883,,,,0.14692982,-0.20029240,incomplete,insufficient_future_bars
