sc,name,market,industry,trade_date,close_price,volume,market_cap_million_yen
1786,オリエンタル白石,東証PR,建設,2026-04-15,371,366900,51498
1787,ナカボーテック,東証ST,建設,2026-04-15,5530,1200,14392
1788,三東工業社,東証ST,建設,2026-04-15,5200,500,3567
1793,大本組,東証ST,建設,2026-04-15,1617,1100,43326
1795,マサル,東証ST,建設,2026-04-15,,,4393
1798,守谷商会,東証ST,建設,2026-04-15,1213,5200,13707
1799,第一建設工業,東証ST,建設,2026-04-15,3765,11000,78532
1801,大成建設,東証PR,建設,2026-04-15,15910,795100,2596287
1802,大林組,東証PR,建設,2026-04-15,3721,1926700,2574230
1803,清水建設,東証PR,建設,2026-04-15,2854.5,3495500,2045790
1807,佐藤渡辺,東証ST,建設,2026-04-15,1955,200,12495
1808,長谷工コーポレーション,東証PR,建設,2026-04-15,2757,1502500,806367
1810,松井建設,東証ST,建設,2026-04-15,1580,52800,48316
1811,錢高組,東証ST,建設,2026-04-15,8220,4200,60443
1812,鹿島建設,東証PR,建設,2026-04-15,6135,1275400,3243305
1813,不動テトラ,東証PR,建設,2026-04-15,3015,38400,49716
1814,大末建設,東証PR,建設,2026-04-15,3380,106800,35876
1815,鉄建建設,東証PR,建設,2026-04-15,4750,79100,71126
1820,西松建設,東証PR,建設,2026-04-15,5682,89700,237459
1822,大豊建設,東証ST,建設,2026-04-15,752,171700,67993
1826,佐田建設,東証ST,建設,2026-04-15,1058,23500,14163
1827,ナカノフドー建設,東証ST,建設,2026-04-15,1329,35400,45848
1828,田辺工業,東証ST,建設,2026-04-15,2429,9900,26058
1833,奥村組,東証PR,建設,2026-04-15,6240,66600,241271
1835,東鉄工業,東証PR,建設,2026-04-15,5500,37800,198550
1840,土屋ホールディングス,東証ST,建設,2026-04-15,238,11400,6134
1844,大盛工業,東証ST,建設,2026-04-15,570,155400,10679
1847,イチケン,東証ST,建設,2026-04-15,2757,34900,40166
1848,富士ピー・エス,東証ST,建設,2026-04-15,569,7400,10585
184A,学びエイド,東証GR,情報通信,2026-04-15,359,5500,1225
1850,南海辰村建設,東証ST,建設,2026-04-15,466,40900,13437
1852,淺沼組,東証PR,建設,2026-04-15,966,332500,78040
1853,森組,東証ST,建設,2026-04-15,319,19200,10463
1860,戸田建設,東証PR,建設,2026-04-15,1466.5,584300,466355
1861,熊谷組,東証PR,建設,2026-04-15,1518,832000,262830
1866,北野建設,東証ST,建設,2026-04-15,1188,13200,30113
1867,植木組,東証ST,建設,2026-04-15,2745,7900,18868
186A,アストロスケールホールディングス,東証GR,サービス,2026-04-15,1367,10235400,185535
1870,矢作建設工業,東証PR,建設,2026-04-15,2089,92600,93185
1871,ピーエス・コンストラクション,東証PR,建設,2026-04-15,2769,80200,131489
1873,日本ハウスホールディングス,東証PR,建設,2026-04-15,328,65700,13120
1878,大東建託,東証PR,不動産,2026-04-15,3521,1776100,1213319
1879,新日本建設,東証PR,建設,2026-04-15,1985,120000,121801
1882,東亜道路工業,東証PR,建設,2026-04-15,1666,332900,83958
1885,東亜建設工業,東証PR,建設,2026-04-15,2918,701800,256721
1887,日本国土開発,東証PR,建設,2026-04-15,616,1259900,54981
1888,若築建設,東証PR,建設,2026-04-15,3895,14700,50499
1893,五洋建設,東証PR,建設,2026-04-15,1718.5,1313000,491515
1897,金下建設,東証ST,建設,2026-04-15,,,12562
1898,世紀東急工業,東証PR,建設,2026-04-15,1484,175700,55538
1899,福田組,東証PR,建設,2026-04-15,8440,18200,75860
189A,D＆Mカンパニー,東証GR,サービス,2026-04-15,941,31500,2151
1904,大成温調,東証ST,建設,2026-04-15,5360,18400,36890
1905,テノックス,東証ST,建設,2026-04-15,1463,3600,10750
1909,日本ドライケミカル,東証ST,機械,2026-04-15,2636,262900,75725
190A,Chordia_Therapeutics,東証GR,医薬品,2026-04-15,131,601900,9659
1911,住友林業,東証PR,建設,2026-04-15,1441.5,2940700,891648
1914,日本基礎技術,東証ST,建設,2026-04-15,730,14400,21423
1921,巴コーポレーション,東証ST,建設,2026-04-15,2007,25300,67837
1925,大和ハウス工業,東証PR,建設,2026-04-15,4917,2309800,3243431
1926,ライト工業,東証PR,建設,2026-04-15,3920,102100,168444
1928,積水ハウス,東証PR,建設,2026-04-15,3515,2966800,2330874
1929,日特建設,東証PR,建設,2026-04-15,1223,76200,51091
192A,インテグループ,東証GR,サービス,2026-04-15,1693,2000,3695
1930,北陸電気工事,東証PR,建設,2026-04-15,1448,68700,43388
1934,ユアテック,東証PR,建設,2026-04-15,2698,119600,186679
1938,日本リーテック,東証PR,建設,2026-04-15,2585,80000,64929
1939,四電工,東証PR,建設,2026-04-15,1948,93800,94997
1941,中電工,東証PR,建設,2026-04-15,4675,83500,271796
1942,関電工,東証PR,建設,2026-04-15,6110,849500,1254312
1944,きんでん,東証PR,建設,2026-04-15,6903,1116300,1380284
1945,東京エネシス,東証PR,建設,2026-04-15,1786,211400,59338
1946,トーエネック,東証PR,建設,2026-04-15,2066,114000,199679
1948,弘電社,東証ST,建設,2026-04-15,6410,35800,57498
194A,WOLVES_HAND,東証GR,サービス,2026-04-15,1914,35300,15262
1950,日本電設工業,東証PR,建設,2026-04-15,5220,132800,321224
1951,エクシオグループ,東証PR,建設,2026-04-15,2784,570200,572460
1952,新日本空調,東証PR,建設,2026-04-15,3435,204100,166819
1959,クラフティア,東証PR,建設,2026-04-15,9300,156600,659044
195A,MUSCAT_GROUP,東証GR,サービス,2026-04-15,939,11700,3202
1960,サンテック,東証ST,建設,2026-04-15,1346,12000,21536
1961,三機工業,東証PR,建設,2026-04-15,7310,507600,392263
1963,日揮ホールディングス,東証PR,建設,2026-04-15,2570,3177000,627833
1964,中外炉工業,東証PR,建設,2026-04-15,4275,20300,33345
1965,テクノ菱和,東証ST,建設,2026-04-15,6720,265700,142656
1966,高田工業所,東証ST,建設,2026-04-15,1832,18900,13437
1967,ヤマト,東証ST,建設,2026-04-15,2126,50200,51295
1968,太平電業,東証PR,建設,2026-04-15,2935,112200,191350
1969,高砂熱学工業,東証PR,建設,2026-04-15,4485,446900,630047
196A,MFS,東証GR,その他金融,2026-04-15,295,197000,3009
1972,三晃金属工業,東証ST,建設,2026-04-15,1307,39500,25879
1975,朝日工業社,東証PR,建設,2026-04-15,3625,139400,98600
1976,明星工業,東証PR,建設,2026-04-15,1861,40300,102573
1979,大氣社,東証PR,建設,2026-04-15,3475,137000,220537
197A,タウンズ,東証ST,医薬品,2026-04-15,497,616700,52897
1980,ダイダン,東証PR,建設,2026-04-15,2720,544600,375065
1981,協和日成,東証ST,建設,2026-04-15,1425,2400,15313
