sc,name,market,industry,trade_date,trade_seq,lookback_obs,raw_close_price,adjustment_factor,adjusted_close_price,entry_price,range_high,range_low,range_width_pct,breakout_margin_pct,day_return_pct,gap_pct,body_ratio,upper_wick_ratio,lower_wick_ratio,volume_ratio,is_bullish,prior_return_20d_pct,prior_return_60d_pct,ma_gap_20_pct,ma_gap_60_pct,ma_slope_20_pct,ma_slope_60_pct,atr_20_pct,atr_20_to_range_ratio,return_20d_pct,return_60d_pct,return_120d_pct,return_240d_pct,future_max_return_240d_pct,future_min_return_60d_pct,dataset_split,bullish_count_10,bullish_count_20,bullish_count_60,up_day_count_10,up_day_count_20,up_day_count_60,high_volume_bullish_count_20,high_volume_bullish_count_60,long_upper_wick_count_20,long_upper_wick_count_60,long_lower_wick_count_20,long_lower_wick_count_60,range_high_touch_count_120,higher_high_count_20,higher_low_count_20,label,label_reason,case_id
1380,秋川牧園,JQS,水産・農林,2020-04-24,559,120,887,1.0000000000,887.00000000,887.00000000,837.00000000,681.00000000,0.22907488986784140969,0.0597371565113501,0.0597371565113501,-0.00358422939068100358,0.57608695652173913043,0.42391304347826086957,0E-20,6.3275434243176179,True,0.1401028277634961,0.0950617283950617,0.1618311611762394,0.1531461258450338,0.0260045692783228,-0.02139479654799516554,0.04058624577226606539,0.23076923076923076923,-0.10710259301014656144,0.0597519729425028,0.5614430665163472,0.3303269447576099,0.6245772266065389,-0.12288613303269447576,train,8,14,27,7,12,26,4,5,4,11,1,8,1,10,12,non_trend,early_drawdown_breached_failure_threshold,1380_2020-04-24
1381,アクシーズ,JQS,水産・農林,2020-01-29,503,120,2730,1.0000000000,2730.00000000,2730.00000000,2530.00000000,2152.00000000,0.17565055762081784387,0.0790513833992095,0.1621966794380587,0.0493827160493827,0.72010869565217391304,0.25271739130434782609,0.02717391304347826087,25.2876712328767123,True,0.1721768999570631,0.1617021276595745,0.1536023663638284,0.1483857398254285,-0.01229157536676474885,0.0126011642765867,0.01930402930402930403,0.13941798941798941799,-0.15531135531135531136,-0.11355311355311355311,-0.02161172161172161172,0.2344322344322344,0.3131868131868132,-0.34065934065934065934,train,2,5,18,4,8,24,1,6,11,21,2,10,2,8,10,non_trend,early_drawdown_breached_failure_threshold,1381_2020-01-29
1382,ホーブ,JQS,水産・農林,2019-08-07,271,120,995,1.0000000000,995.00000000,995.00000000,946.00000000,778.00000000,0.21593830334190231362,0.0517970401691332,0.1775147928994083,0.1775147928994083,,,,17.1794871794871795,False,0.2104622871046229,0.1651053864168618,0.1884144520752463,0.1800051390508568,0.0118436159284549,0.0019011030358239,0.01718592964824120603,0.10178571428571428571,0.0914572864321608,0.3929648241206030,0.3025125628140704,-0.09346733668341708543,1.0974874371859296,-0.00402010050251256281,train,2,4,15,5,8,24,2,4,1,1,0,4,6,7,8,trend,future_max_and_confirm_return_cleared_thresholds,1382_2019-08-07
1382,ホーブ,JQS,水産・農林,2020-11-25,585,120,1127,1.0000000000,1127.00000000,1127.00000000,1065.00000000,874.00000000,0.21853546910755148741,0.0582159624413146,0.1395348837209302,0.0758341759352882,0.64285714285714285714,0.12244897959183673469,0.23469387755102040816,32.9620253164556962,True,0.1938559322033898,0.1027397260273973,0.1899482631189948,0.1916678415339067,0.0087336244541485,-0.00003524477496211194,0.02400177462289263531,0.14162303664921465969,-0.15794143744454303461,-0.18367346938775510204,-0.15794143744454303461,-0.13043478260869565217,-0.04702750665483584738,-0.20940550133096716948,train,6,9,26,4,10,28,3,5,2,10,1,4,1,9,9,non_trend,early_drawdown_breached_failure_threshold,1382_2020-11-25
1383,ベルグアース,JQS,水産・農林,2019-02-25,275,120,2284,1.0000000000,2284.00000000,2284.00000000,2235.00000000,1808.00000000,0.23617256637168141593,0.0219239373601790,0.0219239373601790,0.0062639821029083,0.92105263157894736842,0E-20,0.07894736842105263158,5.2702702702702703,True,0.0628199162401117,0.1976927110644992,0.0634384821324642,0.1158518711526561,0.0355842715591022,0.0436541321436159,0.01208406304728546410,0.06463700234192037471,0.0761821366024518,-0.08012259194395796848,-0.08187390542907180385,0.1685639229422067,0.2316112084063047,-0.10245183887915936953,train,5,12,37,8,12,33,2,6,3,11,4,12,1,8,12,non_trend,early_drawdown_breached_failure_threshold,1383_2019-02-25
1383,ベルグアース,JQS,水産・農林,2020-01-14,487,120,2607,1.0000000000,2607.00000000,2607.00000000,2534.00000000,2056.00000000,0.23249027237354085603,0.0288082083662194,0.0288082083662194,0.0063141278610892,0.96610169491525423729,0.03389830508474576271,0E-20,1.6894977168949772,True,0.0520581113801453,0.1494708994708995,0.0468408055092658,0.0984781982766491,0.0488113036703237,0.0406018663996902,0.01678174146528576908,0.09152719665271966527,0.0790180283851170,-0.11392405063291139241,-0.19562715765247410817,-0.14806290755657844265,0.0790180283851170,-0.29727656309934790947,train,5,10,29,7,13,42,2,7,2,13,2,12,7,11,14,non_trend,early_drawdown_breached_failure_threshold,1383_2020-01-14
1384,ホクリヨウ,東証一部,水産・農林,2019-09-18,417,120,648,1.0000000000,648.00000000,648.00000000,628.00000000,586.00000000,0.07167235494880546075,0.0318471337579618,0.0318471337579618,0.0031847133757962,0.85714285714285714286,0.09523809523809523810,0.04761904761904761905,1.7090069284064665,True,0.0746268656716418,0.0890756302521008,0.0704551086148509,0.0709858689364515,0.0008266512358436,0.0026514209959400,0.01033950617283950617,0.15952380952380952381,0.1080246913580247,0.0416666666666667,-0.14351851851851851852,0.0277777777777778,0.2916666666666667,-0.00771604938271604938,train,5,9,29,6,10,29,3,8,3,12,6,18,2,10,11,non_trend,confirm_horizon_return_non_positive,1384_2019-09-18
1384,ホクリヨウ,東証一部,水産・農林,2020-01-30,504,120,762,1.0000000000,762.00000000,762.00000000,726.00000000,595.00000000,0.22016806722689075630,0.0495867768595041,0.0495867768595041,0.0096418732782369,0.74358974358974358974,0E-20,0.25641025641025641026,3.4523809523809524,True,0.1059506531204644,0.1043478260869565,0.0750564334085779,0.0978245209623973,0.0403640099809188,0.0099427684547483,0.01889763779527559055,0.10992366412213740458,-0.09186351706036745407,-0.20603674540682414698,-0.16535433070866141732,-0.07349081364829396325,0.0984251968503937,-0.30971128608923884514,train,6,11,23,8,13,29,2,3,3,7,3,16,3,10,10,non_trend,early_drawdown_breached_failure_threshold,1384_2020-01-30
1384,ホクリヨウ,東証一部,水産・農林,2020-09-30,666,120,709,1.0000000000,709.00000000,709.00000000,693.00000000,537.00000000,0.29050279329608938547,0.0230880230880231,0.0230880230880231,0.0014430014430014,0.75000000000000000000,0.20000000000000000000,0.05000000000000000000,2.0062695924764890,True,0.0924499229583975,0.1130298273155416,0.0696235950818436,0.0944736029638777,0.0296699029126214,0.0115289525048796,0.01269393511988716502,0.05769230769230769231,-0.06770098730606488011,-0.02538787023977433004,0.0267983074753173,0.0761636107193230,0.1918194640338505,-0.07757404795486600846,train,6,9,26,7,12,29,1,4,1,4,4,13,1,9,13,non_trend,future_max_return_never_reached_half_trend_threshold,1384_2020-09-30
1401,エムビーエス,東証マザ,建設,2019-12-05,469,120,992,1.0000000000,992.00000000,992.00000000,966.00000000,818.00000000,0.18092909535452322738,0.0269151138716356,0.0269151138716356,0.0155279503105590,0.13750000000000000000,0.46250000000000000000,0.40000000000000000000,6.5002836074872377,True,0.1725768321513002,0.1866028708133971,0.1031415068112316,0.1383979802616479,0.0250783699059561,0.0138649188465939,0.02545362903225806452,0.17060810810810810811,0.0705645161290323,-0.31451612903225806452,-0.26209677419354838710,-0.34072580645161290323,0.1441532258064516,-0.31451612903225806452,train,6,11,29,7,12,33,3,9,3,14,4,12,1,11,11,non_trend,early_drawdown_breached_failure_threshold,1401_2019-12-05
1407,ウエストホールディングス,JQS,建設,2018-07-18,133,120,848,1.0000000000,848.00000000,848.00000000,831.00000000,645.00000000,0.28837209302325581395,0.0204572803850782,0.0639899623588457,0.0012547051442911,0.87719298245614035088,0.03508771929824561404,0.08771929824561403509,6.9930644746981762,True,0.1521739130434783,0.1664374140302613,0.1456363145095920,0.1007030827474310,-0.04044594244231267825,0.0327531893027101,0.02582547169811320755,0.11774193548387096774,-0.01768867924528301887,-0.00235849056603773585,0.3714622641509434,0.2889150943396226,0.7558962264150943,-0.13325471698113207547,train,5,8,28,5,9,28,4,12,4,12,3,10,3,7,10,non_trend,early_drawdown_breached_failure_threshold,1407_2018-07-18
1407,ウエストホールディングス,JQS,建設,2018-10-16,194,120,950,1.0000000000,950.00000000,950.00000000,908.00000000,710.00000000,0.27887323943661971831,0.0462555066079295,0.1229314420803783,0.0283687943262411,0.78431372549019607843,0.08823529411764705882,0.12745098039215686275,11.5590701863004446,True,0.2717536813922356,0.1137162954279015,0.2188863228124198,0.1688471476028380,-0.01260530816494584152,0.0137829241419454,0.03410526315789473684,0.16363636363636363636,0.2884210526315789,0.1589473684210526,0.3094736842105263,0.3263157894736842,0.5673684210526316,0.0305263157894737,train,4,11,28,4,9,25,1,7,4,10,2,10,1,12,12,trend,future_max_and_confirm_return_cleared_thresholds,1407_2018-10-16
1414,ショーボンドホールディングス,東証一部,建設,2018-09-10,171,120,8470,0.1250000000,1058.75000000,1058.75000000,1036.25000000,908.75000000,0.14030261348005502063,0.0217129071170084,0.0392638036809816,0.0122699386503067,0.40740740740740740741,0.24074074074074074074,0.35185185185185185185,2.7982258190024123,True,0.1293333333333333,0.1086387434554974,0.0904409398133248,0.0965111010421386,-0.00173499550186351369,0.0059034183396636,0.02154663518299881936,0.17892156862745098039,-0.02361275088547815821,0.0188902007083825,-0.02715466351829988194,-0.11688311688311688312,0.1157024793388430,-0.08736717827626918536,train,4,9,27,5,9,28,3,5,6,15,6,13,9,11,11,non_trend,future_max_return_never_reached_half_trend_threshold,1414_2018-09-10
1414,ショーボンドホールディングス,東証一部,建設,2019-10-15,434,120,4080,0.2500000000,1020.00000000,1020.00000000,992.50000000,877.50000000,0.13105413105413105413,0.0277078085642317,0.0434782608695652,0.0230179028132992,0.84210526315789473684,0.15789473684210526316,0E-20,2.6041006129782287,True,0.0736842105263158,0.1071913161465400,0.0545360558283794,0.0862137817810711,0.0381003488060102,0.0009548977371144,0.02150735294117647059,0.19076086956521739130,0.0539215686274510,0.1299019607843137,0.0514705882352941,0.2573529411764706,0.3112745098039216,-0.01102941176470588235,train,5,9,26,7,14,30,1,3,2,10,6,11,6,10,13,neutral,advanced_but_not_enough_for_long_trend,1414_2019-10-15
1417,ミライト・ホールディングス,東証一部,建設,2018-09-25,180,120,1946,1.0000000000,1946.00000000,1946.00000000,1881.00000000,1587.00000000,0.18525519848771266541,0.0345560871876661,0.0345560871876661,-0.00053163211057947900,0.85714285714285714286,0.01298701298701298701,0.12987012987012987013,3.3746283448959366,True,0.1673665266946611,0.1353558926487748,0.1086423973110010,0.1432711890960363,0.0413193723489455,-0.00160325343135338056,0.01934737923946557040,0.12806122448979591837,-0.04522096608427543679,-0.18345323741007194245,-0.17728674203494347379,-0.13412127440904419322,0.0123329907502569,-0.21736896197327852004,train,8,14,37,8,15,36,6,7,3,6,4,12,4,13,15,non_trend,early_drawdown_breached_failure_threshold,1417_2018-09-25
1418,インターライフホールディングス,JQS,建設,2019-07-18,375,120,258,1.0000000000,258.00000000,258.00000000,246.00000000,200.00000000,0.23000000000000000000,0.0487804878048780,0.0932203389830508,0.0296610169491525,0.50000000000000000000,0.50000000000000000000,0E-20,86.0518962075848303,True,0.2056074766355140,0.2647058823529412,0.1400795404330535,0.1756664388243336,0.0279354985237338,0.0337599120672058,0.03197674418604651163,0.17934782608695652174,-0.06201550387596899225,-0.06201550387596899225,-0.04263565891472868217,-0.08527131782945736434,0.0503875968992248,-0.12015503875968992248,train,2,8,29,4,10,27,3,8,1,10,9,20,2,8,11,non_trend,early_drawdown_breached_failure_threshold,1418_2019-07-18
