post_id,target_username,account_role,benchmark_weight,author_username,created_at_jst,post_date_jst,tweet_url,text
2014540797639848405,yuzz__,candidate,1.0000,yuzz__,2026-01-23 12:28:49,2026-01-23,https://x.com/yuzz__/status/2014540797639848405,"任天堂、ソニーグループ。
出来高も高水準で反発。 https://t.co/TRuyqo15kM"
2014694409942794294,yuzz__,candidate,1.0000,yuzz__,2026-01-23 22:39:13,2026-01-23,https://x.com/yuzz__/status/2014694409942794294,STFさんが幹事で、あおうさぎさんのお店で新年会。僕がスーさんとご飯食べたいと言ったら、STFさんがセッティングしてくれました。ありがとうございました！あおさんが特別に用意してくれた、トリュフハンバーグがめっちゃ美味しかったです！(•̀ᴗ•́)و ̑̑ https://t.co/T0vVmWfYUB
2014929464455823860,yuzz__,candidate,1.0000,yuzz__,2026-01-24 14:13:14,2026-01-24,https://x.com/yuzz__/status/2014929464455823860,"来週、ゲーム関連株決算予定日
1/26(月)コーエーテクモHD
1/27(火)カプコン
1/29(木)コナミグループ

当日もしくは週末に、決算の一言コメント書く予定です"
2015200161551782218,yuzz__,candidate,1.0000,yuzz__,2026-01-25 08:08:53,2026-01-25,https://x.com/yuzz__/status/2015200161551782218,昨日は乃木坂ちゃん好きなお友達と新年会。場所は聖地の焼肉屋、新大久保の韓感さん。集まってくれた方ありがとうございました。 https://t.co/5Jqu7BCA5S
2015690459080008058,yuzz__,candidate,1.0000,yuzz__,2026-01-26 16:37:09,2026-01-26,https://x.com/yuzz__/status/2015690459080008058,"コーエーテクモHD Q3決算
■実績(前年)
売上 517億円(525億)
純利 237億円(251億)
→ゲーム事業、売上475億(487億)営利141億(148億)
■決算要点
・売上は前年比1.6%減。純利益は前年比5.5%減。 
・ゲーム事業は上期『紅の錬金術士と白の守護者 https://t.co/tAdGBFDX5f https://t.co/oXj1uvnc0F"
2015691227912667314,yuzz__,candidate,1.0000,yuzz__,2026-01-26 16:40:13,2026-01-26,https://x.com/yuzz__/status/2015691227912667314,襟川会長『私の含み益は310億円です。』
2015724633023222124,yuzz__,candidate,1.0000,yuzz__,2026-01-26 18:52:57,2026-01-26,https://x.com/yuzz__/status/2015724633023222124,取引時間外で先物売るの、やめてもらっていいですか？ https://t.co/pM4FQnhvsh
2015728699350700404,yuzz__,candidate,1.0000,yuzz__,2026-01-26 19:09:07,2026-01-26,https://x.com/yuzz__/status/2015728699350700404,海外投資家の人にも日本株に投資して欲しいので、今回から英語でも決算コメント残しておきます。
2015730077045268821,yuzz__,candidate,1.0000,yuzz__,2026-01-26 19:14:35,2026-01-26,https://x.com/yuzz__/status/2015730077045268821,"Koei Tecmo HD Q3 Earnings

■Actual Results (Previous Year)
Revenue: 51.7 billion yen (52.5 billion)
Net Profit: 23.7 billion yen (25.1 billion)
→ Game Business: Revenue 47.5 billion (48.7 billion), Operating Profit 14.1 billion (14.8 billion)
■Key Points of Earnings
・Revenue https://t.co/cNY3wBAwOl"
2015984916136395228,yuzz__,candidate,1.0000,yuzz__,2026-01-27 12:07:13,2026-01-27,https://x.com/yuzz__/status/2015984916136395228,今やゲーム関連株は日本一の負け組業種。株価は大暴落でネガティブな意見ばかりです。ただ、昨年株価絶好調だった時と企業本来の価値は全く変わっていません。この2年間で株価が上がりすぎました。その修正だったり、外部要因、需給による株安だとは思っています。下げ止まりを待ちましょう。
2016052687360688461,yuzz__,candidate,1.0000,yuzz__,2026-01-27 16:36:31,2026-01-27,https://x.com/yuzz__/status/2016052687360688461,"カプコン Q3決算
■実績(前年)
売上1,153億円(888億)
純利益388億円(231億)
■決算要点
・売上29.6%増、純利68.6%増。
・今期新作タイトルは125万本販売(前期192万本) 
・リピートタイトルは今期3,339万本販売(前期2,861万本)。 
・ゲーム販売本数は第三四半期期間過去最高を更新。 https://t.co/00Dxf3n5KN https://t.co/q9eFcmO3Ei"
2016053605086986683,yuzz__,candidate,1.0000,yuzz__,2026-01-27 16:40:10,2026-01-27,https://x.com/yuzz__/status/2016053605086986683,"Capcom Third Quarter Earnings

■Results (Previous Year)
Revenue: 115.3 billion yen (88.8 billion)
Net Profit: 38.8 billion yen (23.1 billion)

■Key Points of Earnings
- Revenue increased by 29.6%, net profit by 68.6%.
- New titles this period: 1.25 million units sold (previous https://t.co/lRt7KuMm0H"
2016154162963349595,yuzz__,candidate,1.0000,yuzz__,2026-01-27 23:19:45,2026-01-27,https://x.com/yuzz__/status/2016154162963349595,取引時間外で先物売るの、やめてもらっていいですか？ https://t.co/2NuInRBQG9 https://t.co/YpsIB2foUY
2016318641076408803,yuzz__,candidate,1.0000,yuzz__,2026-01-28 10:13:20,2026-01-28,https://x.com/yuzz__/status/2016318641076408803,カプコンの決算、英語でも一言コメント書いたら、海外の方からリアクションがあったので、英語でも書くのアリですね。
2016494248473055579,yuzz__,candidate,1.0000,yuzz__,2026-01-28 21:51:08,2026-01-28,https://x.com/yuzz__/status/2016494248473055579,取引時間外で先物売るの、やめてもらっていいですか？ https://t.co/2xvYnrCB0d https://t.co/RCkvDlO7Nv
2016665354794389904,yuzz__,candidate,1.0000,yuzz__,2026-01-29 09:11:03,2026-01-29,https://x.com/yuzz__/status/2016665354794389904,ソニーグループ、前回の絶好調だった決算発表から、わずか2ヶ月で時価総額10兆円近く失い、今日の寄付きで3空の下げ。2ヶ月で時価総額10兆円消えたのは上場来初なのかな？
2016698553444552902,yuzz__,candidate,1.0000,yuzz__,2026-01-29 11:22:58,2026-01-29,https://x.com/yuzz__/status/2016698553444552902,仁王3体験版遊んでるけど、めっちゃ面白い！
2016770514048733192,yuzz__,candidate,1.0000,yuzz__,2026-01-29 16:08:54,2026-01-29,https://x.com/yuzz__/status/2016770514048733192,"ARC Raiders ステラモンティス、PvP部屋の脱出先の地下鉄駅。
アメリカサーバー、PvP部屋なのに愉快なパーティいた！
#ArcRaiders #ステラモンティス https://t.co/omMjkIJBQq"
2016853064012222678,yuzz__,candidate,1.0000,yuzz__,2026-01-29 21:36:56,2026-01-29,https://x.com/yuzz__/status/2016853064012222678,新年会で、麻布十番のおでん。 https://t.co/Z3HHVHBrEy
2016892861539897461,yuzz__,candidate,1.0000,yuzz__,2026-01-30 00:15:04,2026-01-30,https://x.com/yuzz__/status/2016892861539897461,取引時間外で先物売るの、やめてもらっていいですか？ https://t.co/dNawh61T6O https://t.co/8L7hchU8Oo
2017077421703643195,yuzz__,candidate,1.0000,yuzz__,2026-01-30 12:28:27,2026-01-30,https://x.com/yuzz__/status/2017077421703643195,ゲーム関連企業。来週は任天堂の決算もあります。今週発表された決算は全て好決算です。決算後の反応は上がったり下がったりですが、要因はただの需給で、どこも好決算。現場からは以上です。
2017430587817230627,yuzz__,candidate,1.0000,yuzz__,2026-01-31 11:51:48,2026-01-31,https://x.com/yuzz__/status/2017430587817230627,49.84ドル😙 https://t.co/iobmn2jK3r
2017434039314178177,yuzz__,candidate,1.0000,yuzz__,2026-01-31 12:05:31,2026-01-31,https://x.com/yuzz__/status/2017434039314178177,ただ書きたいことを自分のメモ用に書き残してるだけなのに、お金振り込んでくれるとか、Xさん優しすぎんか！
2017810937064129009,yuzz__,candidate,1.0000,yuzz__,2026-02-01 13:03:11,2026-02-01,https://x.com/yuzz__/status/2017810937064129009,"気づけばARC Raiders386時間プレイしてた。スプラトゥーン3は3,150時間遊んでて、株クラでこれ以上のプレイ時間の人いるのかな？って感じだけど、スプラトゥーンの最近のアップデートの方向性はあまりよくないと思っていて、だからスプラから離れてしまったんだとは思っている。株主総会で意見したい。 https://t.co/SvHUzv2oXY https://t.co/NH5AFWpTPi"
2017903115572502990,yuzz__,candidate,1.0000,yuzz__,2026-02-01 19:09:28,2026-02-01,https://x.com/yuzz__/status/2017903115572502990,スプラ、家族でほっこり派のわし、0ptで着地。#スプラトゥーン3 https://t.co/mXWbdJwspf
2018170300186423347,yuzz__,candidate,1.0000,yuzz__,2026-02-02 12:51:10,2026-02-02,https://x.com/yuzz__/status/2018170300186423347,この2ヶ月間のゲーム関連株への悪材料の出方は凄まじい。割高になったゲーム株への調整、セクターローテーションのエンタメ株売り、メモリ価格の高騰、そしてProject Genie。短期でここまで重なったのは初では。全体地合いが調整したら、それで悪材料は出尽くしそうだけど、どうかな？業績は好調です。
2018251015968137438,yuzz__,candidate,1.0000,yuzz__,2026-02-02 18:11:54,2026-02-02,https://x.com/yuzz__/status/2018251015968137438,年初来+60%で下手すぎ。みたいなポストを見てしまったんですが、僕は年初来マイナスです😇まぁ、まだ一ヶ月しか経ってないし、焦らず。
2018334329223733682,yuzz__,candidate,1.0000,yuzz__,2026-02-02 23:42:57,2026-02-02,https://x.com/yuzz__/status/2018334329223733682,"ドラクエ7 Reimaginedに向けて、
ARC Raidersのトライアル。恐れ知らず、順位4位まで。24時からはドラクエやろ！ https://t.co/6HTZbg6QoJ"
2018340423480340856,yuzz__,candidate,1.0000,yuzz__,2026-02-03 00:07:10,2026-02-03,https://x.com/yuzz__/status/2018340423480340856,"ドラゴンクエスト7 Reimagined早速！
予約特典いっぱい！
#ドラゴンクエスト7リイマジンド https://t.co/g0rI40fCl6 https://t.co/rIQ67096Pv"
2018393051312583030,yuzz__,candidate,1.0000,yuzz__,2026-02-03 03:36:18,2026-02-03,https://x.com/yuzz__/status/2018393051312583030,"ドラゴンクエスト7 Reimagined ダーマ神殿まで。キーファの離脱は原作通りかな。
#ドラゴンクエスト7リイマジンド https://t.co/W0rR2n8bxl https://t.co/8uhj24PDlF"
2018413591054143534,yuzz__,candidate,1.0000,yuzz__,2026-02-03 04:57:55,2026-02-03,https://x.com/yuzz__/status/2018413591054143534,転職、最初は1つしか職業つけないみたいだね。上級職、マスター職は10種類。#ドラゴンクエスト7リイマジンド https://t.co/LXJouoW7LP https://t.co/HalestoorS
2018497823109464520,yuzz__,candidate,1.0000,yuzz__,2026-02-03 10:32:37,2026-02-03,https://x.com/yuzz__/status/2018497823109464520,"アイラが仲間になった後に、職業かけもち開放。かけもち先のサブにも職業ポイントが入るので、職業ポイントがサクサク貯まる点はリメイクの良いポイントですね。
#ドラゴンクエスト7リイマジンド https://t.co/klnmC9zjpY https://t.co/6TbbO6ZY7i"
2018498457825079414,yuzz__,candidate,1.0000,yuzz__,2026-02-03 10:35:08,2026-02-03,https://x.com/yuzz__/status/2018498457825079414,昨日の日本株の動きは、よくある月初売りと、週末の商品市場や仮想通貨の下落を、一番早く市場が開く日本で一旦ヘッジしておくか。のが重なっただけぽいですね。今日は強い！
2018535968853443023,yuzz__,candidate,1.0000,yuzz__,2026-02-03 13:04:12,2026-02-03,https://x.com/yuzz__/status/2018535968853443023,俺たちの日経平均(•̀ᴗ•́)و ̑̑ｵﾎｯ
2018577394207261072,yuzz__,candidate,1.0000,yuzz__,2026-02-03 15:48:48,2026-02-03,https://x.com/yuzz__/status/2018577394207261072,"任天堂 第3四半期決算
■実績(前年)
売上19,058億円(9,562億円)
純利3,588億円(2,371億円)
■決算要点
・売上99.3%増、純利51.3%増。
・ハード2,062万台(前年954万台)
→Nintendo Switch2 1,737万台、Switch 325万台
・ソフト14,686万本(前年12,398万本)  
・マリオカートワールド1,403万本販売。 https://t.co/0txWz3frqh https://t.co/j4GPyZsutY"
